Quarters, Active users (in millions)
2010-03, 431
2010-06, 482
2010-09, 550
2010-12, 608
2011-03, 680
2011-06, 739
2011-09, 800
2011-12, 845
2012-03, 901
2012-06, 955
2012-09, 1007
2012-12, 1056
2013-03, 1110
2013-06, 1155
2013-09, 1189
2013-12, 1228
2014-03, 1276
2014-06, 1317
2014-09, 1350
2014-12, 1393
2015-03, 1441
2015-06, 1490
2015-09, 1545
2015-12, 1591
2016-03, 1654
2016-06, 1712
2016-09, 1788
2016-12, 1860
2017-03, 1936
2017-06, 2006
2017-09, 2072
2017-12, 2129
2018-03, 2196
2018-06, 2234
2018-09, 2271
2018-12, 2320
2019-03, 2360
2019-06, 2390
2019-09, 2450
2019-12, 2495
2020-03, 2560
2020-06, 2620
2020-09, 2690
2020-12, 2770
2021-03, 2804
2021-06, 2885
2021-09, 2975
2021-12, 3100
2022-03, 3104
2022-06, 3185
2022-09, 3235
2022-12, 3300
